City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Nador,MA,62.85,clear sky,35.174,-2.9287,Hôtel La Giralda
8,Port Elizabeth,ZA,68.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
10,Lebu,CL,57.79,broken clouds,-37.6167,-73.65,Hostal Las Lilas
11,Punta Arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Hain
12,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
16,Caravelas,BR,77.2,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
17,Talcahuano,CL,64.08,clear sky,-36.7167,-73.1167,departamento comodo
19,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Hobart,AU,67.12,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
26,Port Lincoln,AU,70.88,clear sky,-34.7333,135.8667,Port Lincoln Hotel
28,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
29,Pemangkat,ID,78.24,overcast clouds,1.1667,108.9667,Ramah Kost KITA
30,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
31,Ribeira Grande,PT,59.18,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
32,Port Alfred,ZA,68.74,light rain,-33.5906,26.891,The Halyards Hotel
35,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
37,Castro,BR,65.46,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
38,Butaritari,KI,82.45,few clouds,3.0707,172.7902,Isles Sunset Lodge
39,Hithadhoo,MV,81.61,overcast clouds,-0.6,73.0833,Scoop Guest House
41,Makakilo City,US,79.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
43,Cassilandia,BR,73.89,scattered clouds,-19.1133,-51.7342,Delirius Motel
44,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
46,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
47,Saint-Pierre,RE,82.08,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
48,Mataura,NZ,58.48,few clouds,-46.1927,168.8643,Ellie's Villa
49,Bredasdorp,ZA,63.72,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
50,Menongue,AO,62.17,light rain,-14.6585,17.691,Ritz Lauca
51,Cape Town,ZA,65.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
52,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
53,Mercedes,AR,72.84,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
54,Bluff,NZ,59.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
57,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,Cidreira,BR,73.0,few clouds,-30.1811,-50.2056,Hotel Castelo
61,Puerto Madryn,AR,60.1,light rain,-42.7692,-65.0385,Hotel Tolosa
62,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Chuy,UY,69.04,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
