City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,2022-02-05 01:25:50,62.456,-114.3525,-26.72,80,75,3.0,broken clouds
1,Iqaluit,CA,2022-02-05 01:29:23,63.7506,-68.5145,-16.87,52,75,5.75,broken clouds
2,Nador,MA,2022-02-05 01:29:23,35.174,-2.9287,62.85,39,0,9.22,clear sky
3,Mamakan,RU,2022-02-05 01:29:24,57.8161,114.0028,1.45,97,100,2.01,overcast clouds
4,Kushima,JP,2022-02-05 01:29:24,31.4583,131.2333,44.64,57,19,12.55,few clouds
5,Chokurdakh,RU,2022-02-05 01:26:28,70.6333,147.9167,-30.78,100,16,1.72,few clouds
6,Saint George,US,2022-02-05 01:24:25,37.1041,-113.5841,48.79,21,0,8.05,clear sky
7,Ushuaia,AR,2022-02-05 01:27:01,-54.8,-68.3,49.66,66,0,12.66,clear sky
8,Port Elizabeth,ZA,2022-02-05 01:29:24,-33.918,25.5701,68.09,82,75,4.61,broken clouds
9,Sheregesh,RU,2022-02-05 01:29:25,52.9209,87.9869,-1.03,99,87,2.8,overcast clouds
10,Lebu,CL,2022-02-05 01:29:25,-37.6167,-73.65,57.79,87,51,16.91,broken clouds
11,Punta Arenas,CL,2022-02-05 01:29:25,-53.15,-70.9167,50.11,66,0,2.3,clear sky
12,Kapaa,US,2022-02-05 01:29:26,22.0752,-159.319,79.12,73,40,1.99,light rain
13,Albany,US,2022-02-05 01:28:51,42.6001,-73.9662,20.8,85,100,1.01,overcast clouds
14,Provideniya,RU,2022-02-05 01:29:26,64.3833,-173.3,4.3,60,3,10.65,clear sky
15,Pisco,PE,2022-02-05 01:25:55,-13.7,-76.2167,68.05,77,0,16.11,clear sky
16,Caravelas,BR,2022-02-05 01:29:26,-17.7125,-39.2481,77.2,85,100,7.23,overcast clouds
17,Talcahuano,CL,2022-02-05 01:29:26,-36.7167,-73.1167,64.08,63,0,19.57,clear sky
18,Gazli,UZ,2022-02-05 01:29:27,40.1333,63.45,43.32,39,97,16.06,overcast clouds
19,Puerto Ayora,EC,2022-02-05 01:29:27,-0.7393,-90.3518,75.54,92,70,1.99,broken clouds
20,Hobart,AU,2022-02-05 01:27:51,-42.8794,147.3294,67.12,78,75,1.01,broken clouds
21,Bow Island,CA,2022-02-05 01:29:27,49.8668,-111.3684,41.29,60,100,20.71,overcast clouds
22,Derzhavinsk,KZ,2022-02-05 01:29:28,51.1,66.3167,14.74,74,100,10.87,overcast clouds
23,Visnes,NO,2022-02-05 01:29:28,59.3556,5.2242,41.22,75,40,24.16,scattered clouds
24,Zhigansk,RU,2022-02-05 01:29:28,66.7697,123.3711,-30.44,99,99,5.14,overcast clouds
25,Zharkent,KZ,2022-02-05 01:29:28,44.1628,80.0,24.26,60,21,1.23,few clouds
26,Port Lincoln,AU,2022-02-05 01:29:29,-34.7333,135.8667,70.88,66,6,12.66,clear sky
27,Barrow,US,2022-02-05 01:26:03,71.2906,-156.7887,-20.18,69,100,10.36,overcast clouds
28,Avarua,CK,2022-02-05 01:29:29,-21.2078,-159.775,80.65,83,20,8.05,few clouds
29,Pemangkat,ID,2022-02-05 01:29:29,1.1667,108.9667,78.24,85,100,8.7,overcast clouds
